ID,precipitacao,uso_solo,radiacao,temperatura,umidade_ar,vento,vazao_Q95,ano
132,0.25318251,Floresta,1607.4703,26.634194,53.38507,2.9383391,4.5454521,2012
133,0.32868498,Floresta,1615.6067,26.544359,53.663034,2.9547773,4.4538523,2012
134,0.40764043,Floresta,1618.0972,26.531153,53.765926,2.9541408,4.3352591,2012
136,0.51677858,Floresta,1617.3029,26.609389,53.853594,2.9085355,4.1261383,2012
137,0.55729418,Floresta,1619.2529,26.644487,54.00728,2.8627832,4.0726664,2012
138,0.57782594,Floresta,1624.2991,26.665722,54.267444,2.7967071,4.0568016,2012
139,0.59302684,Floresta,1633.0178,26.674702,54.620365,2.7049861,4.0559551,2012
162,0.47321414,Agropecuaria,1686.6365,26.828129,53.089407,3.3291057,0.86573776,2012
163,0.37018847,Agropecuaria,1695.2892,26.953596,52.519835,3.4175598,0.85096162,2012
164,0.33280059,Floresta,1699.0729,26.985201,52.342934,3.4610552,0.84946787,2012
165,0.28906081,Agropecuaria,1695.9732,26.876573,52.729276,3.4529886,0.8748956,2012
166,0.23390821,Floresta,1687.1927,26.666669,53.534648,3.4097121,0.91885356,2012
216,0.40431022,Agropecuaria,1557.372,27.113909,51.913351,2.8591894,4.3905291,2012
217,0.38048473,Floresta,1574.0256,26.928785,52.491357,2.894705,4.458462,2012
218,0.37190277,Floresta,1587.9571,26.792096,52.907484,2.9246055,4.4064321,2012
219,0.39757497,Floresta,1597.7619,26.709865,53.158719,2.9463105,4.2850893,2012
220,0.43580648,Area_nao_vegetada,1603.6667,26.67596,53.281261,2.9584882,4.1346499,2012
221,0.47114,Agropecuaria,1607.1702,26.6724,53.350835,2.9592126,3.9903415,2012
222,0.50377043,Floresta,1609.9983,26.679722,53.455416,2.9440181,3.8860767,2012
223,0.53019665,Agropecuaria,1613.5465,26.686352,53.654201,2.9078174,3.8513382,2012
224,0.54909191,Floresta,1618.9761,26.688323,53.959191,2.8477194,3.8963413,2012
225,0.56299036,Agropecuaria,1627.2426,26.685102,54.348997,2.7622936,3.9917851,2012
226,0.5742509,Floresta,1638.9642,26.677314,54.791712,2.6494854,4.0654225,2012
248,0.44348144,Floresta,1673.3706,26.408591,54.456735,3.2421812,0.76905289,2012
249,0.39328722,Floresta,1679.613,26.407797,54.357949,3.3016765,0.83319215,2012
250,0.35109248,Area_nao_vegetada,1683.1388,26.355126,54.472104,3.3339117,0.88027398,2012
251,0.3182769,Agropecuaria,1682.7075,26.248157,54.824026,3.3385862,0.90836423,2012
252,0.28784054,Agropecuaria,1678.0462,26.117248,55.324023,3.3233707,0.91430685,2012
303,0.41916672,Floresta,1555.367,27.010564,52.165508,2.8954205,4.3703425,2012
304,0.41996159,Floresta,1572.6079,26.886438,52.536126,2.9318671,4.2772925,2012
305,0.43265612,Floresta,1585.8929,26.803758,52.746952,2.966466,4.1095899,2012
306,0.45263617,Floresta,1595.407,26.757624,52.829164,2.9968741,3.9071403,2012
307,0.47423491,Floresta,1601.7927,26.736146,52.864085,3.0159443,3.7081765,2012
308,0.49473382,Agropecuaria,1606.0028,26.72596,52.964008,3.012352,3.5602235,2012
309,0.51240403,Floresta,1609.5449,26.718013,53.20337,2.9791088,3.5242923,2012
310,0.52662219,Floresta,1614.1881,26.708627,53.574357,2.918588,3.6488211,2012
311,0.53790897,Floresta,1621.183,26.697145,54.020596,2.8369142,3.9078664,2012
312,0.54666686,Agropecuaria,1630.9233,26.684041,54.486641,2.7380748,4.1720743,2012
313,0.55115267,Floresta,1642.9729,26.6703,54.932837,2.6251177,4.2692124,2012
314,0.54323137,Floresta,1655.8716,26.657305,55.324126,2.5073364,4.0715102,2012
315,0.49348161,Floresta,1666.7906,26.646419,55.616227,2.4083924,3.5331937,2012
332,0.48876717,Floresta,1653.5556,26.170055,55.256182,3.0644276,0.42709017,2012
333,0.47405601,Floresta,1658.9145,26.120238,55.360338,3.1333237,0.45295677,2012
334,0.42656866,Agropecuaria,1665.7955,26.053469,55.497422,3.19499,0.60149525,2012
335,0.39064738,Agropecuaria,1673.2715,25.957348,55.719935,3.2429483,0.74996636,2012
336,0.35480416,Floresta,1679.8489,25.833825,56.041044,3.2731817,0.84456841,2012
337,0.33074764,Agropecuaria,1683.2745,25.712987,56.398144,3.2859993,0.88144036,2012
389,0.43791097,Agropecuaria,1538.4023,27.060356,51.90377,2.9041294,4.309548,2012
390,0.44011079,Floresta,1561.4625,26.934759,52.258721,2.9516496,4.160479,2012
391,0.44761231,Agropecuaria,1580.0123,26.844691,52.425208,3.0044173,3.9324572,2012
392,0.45893764,Agropecuaria,1593.9443,26.788862,52.422072,3.0590183,3.6569811,2012
393,0.47178628,Agropecuaria,1602.8238,26.760466,52.351297,3.1010789,3.3645418,2012
394,0.48438307,Floresta,1606.8707,26.747421,52.396764,3.107673,3.1081582,2012
395,0.49568487,Agropecuaria,1608.4841,26.737338,52.679735,3.069275,3.0017449,2012
396,0.50536843,Floresta,1610.9456,26.724387,53.148014,2.9997159,3.2072073,2012
397,0.51356331,Agropecuaria,1615.9797,26.708824,53.675983,2.9171696,3.753158,2012
398,0.52008376,Agropecuaria,1623.5574,26.692511,54.176533,2.8308354,4.3864242,2012
399,0.52314997,Floresta,1632.7388,26.676776,54.611135,2.7442351,4.7480874,2012
400,0.51754241,Floresta,1642.0823,26.662289,54.962539,2.6628705,4.6133691,2012
401,0.49327325,Floresta,1649.7683,26.649156,55.216173,2.5987577,3.9538339,2012
402,0.46837893,Floresta,1654.1061,26.636554,55.360431,2.5669791,2.8546513,2012
407,0.50015802,Floresta,1645.1321,26.51973,54.883305,2.7360017,1.2688905,2012
408,0.50209564,Floresta,1645.4923,26.483347,54.591944,2.7598408,1.4739678,2012
417,0.43789398,Floresta,1645.4523,26.094989,55.20489,2.9998672,0.33696809,2012
418,0.39170426,Agropecuaria,1648.4622,26.008782,55.524131,3.0606891,0.12060555,2012
419,0.4030156,Agropecuaria,1654.1526,25.905168,55.850407,3.1215058,0.17442574,2012
420,0.40864469,Agropecuaria,1662.9106,25.77426,56.218841,3.1784415,0.44037743,2012
421,0.38604568,Floresta,1674.8095,25.610423,56.644655,3.2272927,0.66658005,2012
422,0.35596285,Floresta,1688.3179,25.431228,57.085558,3.2639533,0.79612275,2012
423,0.33365979,Floresta,1698.2405,25.291933,57.431759,3.2847346,0.83860907,2012
476,0.44734261,Floresta,1553.1082,26.95772,52.061124,2.9729087,4.062011,2012
477,0.45156891,Corpo_dagua,1578.0588,26.855864,52.199329,3.0435762,3.7684659,2012
478,0.45769336,Agropecuaria,1597.2468,26.789678,52.105564,3.1226422,3.4087761,2012
479,0.46458196,Agropecuaria,1608.9023,26.757937,51.900136,3.1884715,2.9869516,2012
480,0.47125069,Agropecuaria,1611.9642,26.749632,51.864717,3.2030737,2.5214532,2012
481,0.4771942,Agropecuaria,1610.1983,26.745477,52.194765,3.1539135,2.1615607,2012
482,0.4824552,Agropecuaria,1609.4728,26.734624,52.77305,3.0717911,2.3659218,2012
483,0.48738167,Floresta,1612.2454,26.718582,53.384458,2.9884966,3.4443817,2012
484,0.49218966,Floresta,1617.9149,26.701547,53.915179,2.9152479,4.82287,2012
485,0.49641479,Floresta,1625.0082,26.685595,54.338051,2.8523633,5.6806513,2012
486,0.49774476,Agropecuaria,1632.0731,26.670874,54.657674,2.7996293,5.6202522,2012
487,0.49305842,Agropecuaria,1637.8651,26.656562,54.883127,2.7601112,4.7702331,2012
488,0.48360932,Agropecuaria,1641.5313,26.641362,55.02176,2.7386007,3.454104,2012
489,0.45682778,Agropecuaria,1642.8947,26.623687,55.081717,2.7368514,1.9713188,2012
492,0.47313066,Floresta,1640.7658,26.543314,54.853106,2.7921894,0.96330307,2012
